Name,Position,Height,Weight,Hometown
Ollie Gordon II,RB,6' 2",225 lbs,"Fort Worth, TX"
Kobe Hylton,S,6' 0",210 lbs,"Snellville, GA"
De’Zhaun Stribling,WR,6' 2",200 lbs,"Kapolei, HI"
Korie Black,CB,6' 0",190 lbs,"Waco, TX"
Talyn Shettron,WR,6' 2",195 lbs,"Edmond, OK"
Cam Smith,CB,6' 0",190 lbs,"Little Elm, TX"
Sesi Vailahi,RB,5' 9",200 lbs,"Salt Lake City, UT"
AJ Green,RB,5' 10",210 lbs,"Tulsa, OK"
Nick Martin,LB,6' 0",220 lbs,"Texarkana, TX"
Kendal Daniels,S,6' 4",235 lbs,"Beggs, OK"
Da'Wain Lofton,WR,5' 11",190 lbs,"Fort Worth, TX"
Zane Flores,QB,6' 4",205 lbs,"Gretna, NE"
Lyrik Rawls,S,6' 1",210 lbs,"Marshall, TX"
Alan Bowman,QB,6' 3",220 lbs,"Grapevine, TX"
Cameron Epps,S,6' 2",205 lbs,"St. Louis, MO"
Parker Robertson,S,5' 11",185 lbs,"Rockwall, TX"
Maealiuaki Smith,QB,6' 4",185 lbs,"Sacramento, CA"
Trey Rucker,S,6' 0",210 lbs,"Waldorf, MD"
Ayo Shotomide-King,WR,6' 4",215 lbs,"Chula Vista, CA"
Rashod Owens,WR,6' 2",230 lbs,"San Antonio, TX"
Kale Smith,CB,6' 0",175 lbs,"Midwest City, OK"
Tabry Shettron,TE,6' 4",235 lbs,"Edmond, OK"
Dylan Smith,S,6' 0",185 lbs,"Little Elm, TX"
Kam Franklin,S,6' 2",205 lbs,"Oak Grove, LA"
RJ Lester,CB,6' 3",185 lbs,"Fort Smith, AR"
Garret Rangel,QB,6' 2",205 lbs,"Frisco, TX"
Landyn Cleveland,S,6' 0",185 lbs,"Dallas, TX"
Ty Williams,S,6' 0",205 lbs,"Muskogee, OK"
Garret Wilson,QB,6' 2",215 lbs,"Edmond, OK"
Tré Griffiths,WR,6' 3",200 lbs,"Keller, TX"
Willie Nelson,S,5' 8",180 lbs,"Longview, TX"
Gavin Freeman,WR,5' 8",185 lbs,"Oklahoma City, OK"
Tywon Wray Jr.,S,6' 1",200 lbs,"Atlanta, GA"
David Kabongo,S,5' 10",190 lbs,"Fort Worth, TX"
Gabriel Rodriguez,S,5' 8",170 lbs,"Wagoner, OK"
Logan Ward,K,5' 11",215 lbs,"Edmond, OK"
DeSean Buckner,CB,6' 0",200 lbs,"Pine Bluff, AR"
Rodney Fields Jr.,RB,5' 9",185 lbs,"Wright City, OK"
Jeff Roberson,LB,6' 2",225 lbs,"Choctaw, OK"
C.J. Williams,RB,5' 10",195 lbs,"Ardmore, OK"
Kenneth Harris,CB,6' 0",195 lbs,"Columbia, LA"
Jalen Pope,WR,6' 1",195 lbs,"Aledo, TX"
De’kelvion Beamon,CB,6' 1",200 lbs,"Shreveport, LA"
Trent Howland,RB,6' 3",240 lbs,"Joliet, IL"
Hudson Devins,RB,5' 10",205 lbs,"Berea, OH"
Ike Esonwune,LB,6' 0",225 lbs,"Austin, TX"
Jacobi Oliphant Jr.,CB,6' 4",195 lbs,"St. Louis, MO"
Raymond Gay II,CB,5' 10",180 lbs,"Dallas, TX"
Kyler Pearson,WR,5' 6",150 lbs,"Tulsa, OK"
Jaden Allen-Hendrix,RB,6' 2",230 lbs,"Columbia, SC"
LaDainian Fields,CB,6' 1",170 lbs,"Oklahoma City, OK"
Hudson Kaak,P,6' 2",215 lbs,"Seymour, Victoria, Australia"
Cooper Lai,S,6' 0",195 lbs,"Tulsa, OK"
Collin Oliver,LB,6' 2",240 lbs,"Oklahoma City, OK"
Chance Clements,LB,6' 1",205 lbs,"Stillwater, OK"
Jaxon Deason,WR,5' 10",160 lbs,"San Antonio, TX"
Braden Baize,WR,5' 10",190 lbs,"Boerne, TX"
Gabe Brown,LB,6' 2",235 lbs,"Stillwater, OK"
Obi Ezeigbo,DE,6' 2",245 lbs,"Ewing, NJ"
Holden Thompson,RB,5' 10",175 lbs,"Stillwater, OK"
Poasa Utu,LB,6' 0",225 lbs,"Arlington, TX"
Talon Kendrick,S,6' 1",215 lbs,"Stillwater, OK"
Ty Walls,WR,5' 11",185 lbs,"Jenks, OK"
Garrick Martin,S,6' 2",190 lbs,"Stillwater, OK"
Seth Swirczynski,RB,5' 10",200 lbs,"Muenster, TX"
Jake Schultz,FB,6' 3",250 lbs,"Prague, OK"
Kade Welcher,S,5' 10",175 lbs,"Rockwall, TX"
